timestamp,train_id,location_km,speed_kmh,brake_status,lat,lon,heading
2024-06-22 10:35:12,52459,0.1,0,released,30.8398,76.9588,NE
2024-06-22 10:42:28,52459,3.4,18,released,30.8445,76.9621,NE
2024-06-22 10:48:55,52459,6.2,22,released,30.8492,76.9668,NE
2024-06-22 10:55:40,52459,10.8,25,released,30.8548,76.9712,NE
2024-06-22 11:02:15,52459,15.2,28,released,30.8601,76.9758,NE
2024-06-22 11:08:44,52459,19.8,26,released,30.8654,76.9804,NE
2024-06-22 11:15:22,52459,26.4,24,released,30.8712,76.9856,NE
2024-06-22 11:22:08,52459,33.2,22,released,30.8778,76.9912,NE
2024-06-22 11:28:35,52459,38.6,20,released,30.8834,76.9968,NE
2024-06-22 11:34:50,52459,42.1,18,released,30.8889,77.0012,NE
2024-06-22 11:38:02,52459,46.1,32,released,30.8924,77.0048,NE
2024-06-22 11:38:18,52459,46.3,38,released,30.8928,77.0052,NE
2024-06-22 11:38:35,52459,46.5,44,released,30.8932,77.0056,NE
2024-06-22 11:38:48,52459,46.6,48,released,30.8934,77.0058,NE
2024-06-22 11:39:02,52459,46.7,52,released,30.8936,77.0060,NE
2024-06-22 11:39:15,52459,46.8,55,released,30.8938,77.0062,NE
2024-06-22 11:39:28,52459,46.9,58,released,30.8940,77.0064,NE
2024-06-22 11:39:40,52459,47.0,52,applied,30.8942,77.0066,NE
2024-06-22 11:39:55,52459,47.1,28,applied,30.8944,77.0068,NE
2024-06-22 11:40:08,52459,47.2,0,applied,30.8946,77.0070,NE
