timestamp,signal,state,train_id
2024-06-22 10:34:58,KLK-S01,GREEN,52459
2024-06-22 10:35:15,KLK-S01,RED,52459
2024-06-22 10:51:44,SWO-S02,GREEN,52459
2024-06-22 10:52:02,SWO-S02,RED,52459
2024-06-22 11:07:52,DHR-S03,GREEN,52459
2024-06-22 11:08:08,DHR-S03,RED,52459
2024-06-22 11:23:48,KTZ-S04,GREEN,52459
2024-06-22 11:24:05,KTZ-S04,RED,52459
2024-06-22 11:37:42,BLPL-S05,GREEN,52459
2024-06-22 11:37:58,BLPL-S05,RED,52459
2024-06-22 11:38:55,SLF-GR-01,GREEN,52459
2024-06-22 11:39:45,SLF-GR-01,RED,52459
2024-06-22 11:40:02,SLF-GR-02,RED,52459
