timestamp,train_id,location_km,speed_kmh,brake_status,lat,lon,heading
2024-08-14 03:52:04,18447,0.2,0,released,26.4551,80.3316,NE
2024-08-14 03:58:12,18447,4.1,42,released,26.4623,80.3489,NE
2024-08-14 04:05:30,18447,12.8,58,released,26.4788,80.3712,NE
2024-08-14 04:12:45,18447,28.4,62,released,26.4912,80.3921,NE
2024-08-14 04:18:02,18447,38.7,55,released,26.5024,80.4103,NE
2024-08-14 04:22:18,18447,52.1,68,released,26.5147,80.4288,NE
2024-08-14 04:28:44,18447,71.6,74,released,26.5289,80.4512,NE
2024-08-14 04:35:10,18447,98.3,81,released,26.5412,80.4734,NE
2024-08-14 04:41:22,18447,125.7,88,released,26.5534,80.4956,NE
2024-08-14 04:46:55,18447,138.2,92,released,26.5618,80.5089,NE
2024-08-14 04:47:38,18447,141.5,94,applied,26.5641,80.5124,NE
2024-08-14 04:48:02,18447,142.8,78,applied,26.5653,80.5147,NE
2024-08-14 04:48:11,18447,142.9,41,applied,26.5654,80.5149,NE
2024-08-14 04:48:14,18447,143.0,0,applied,26.5655,80.5150,NE
