timestamp,train_id,location_km,speed_kmh,brake_status,lat,lon,heading
2024-11-03 20:22:08,12139,0.3,0,released,23.2599,77.4126,SE
2024-11-03 20:28:44,12139,2.1,28,released,23.2578,77.4152,SE
2024-11-03 20:35:12,12139,4.0,22,released,23.2556,77.4181,SE
2024-11-03 20:42:30,12139,4.2,35,released,23.2549,77.4198,SE
2024-11-03 20:48:55,12139,4.2,42,released,23.2547,77.4201,SE
2024-11-03 20:55:18,12139,4.2,48,released,23.2545,77.4204,SE
2024-11-03 21:02:40,12139,4.2,52,released,23.2543,77.4207,SE
2024-11-03 21:08:22,12139,4.2,55,released,23.2541,77.4210,SE
2024-11-03 21:12:15,12139,4.2,58,released,23.2539,77.4213,SE
2024-11-03 21:14:48,12139,4.2,61,released,23.2537,77.4216,SE
2024-11-03 21:15:02,12139,4.2,63,applied,23.2536,77.4217,SE
2024-11-03 21:15:08,12139,4.2,12,applied,23.2535,77.4218,SE
2024-11-03 21:15:11,12139,4.2,0,applied,23.2534,77.4219,SE
