timestamp,signal,state,train_id
2024-08-14 03:51:58,CNB-S01,GREEN,18447
2024-08-14 03:52:06,CNB-S01,RED,18447
2024-08-14 04:04:22,GDCR-S12,GREEN,18447
2024-08-14 04:04:28,GDCR-S12,RED,18447
2024-08-14 04:17:55,CHK-S08,GREEN,18447
2024-08-14 04:18:04,CHK-S08,RED,18447
2024-08-14 04:34:48,IRPN-S03,YELLOW,18447
2024-08-14 04:35:02,IRPN-S03,GREEN,18447
2024-08-14 04:35:08,IRPN-S03,RED,18447
2024-08-14 04:46:40,KNP-S42,GREEN,18447
2024-08-14 04:47:55,KNP-S42,RED,18447
2024-08-14 04:48:02,KNP-S43,RED,18447
2024-08-14 04:48:10,KNP-S44,RED,18447
